Category,Prompt,Query
Market Share Analysis,What is the market share analysis by statename where region_name IS NOT NULL? Include percentage calculations.,"WITH total_market AS (
  SELECT 
    statename,
    SUM(netweight_tmt) AS total_market_size
  FROM 
    industry_performance_test
  WHERE 
    region_name IS NOT NULL
  GROUP BY
    statename
),
company_sales AS (
  SELECT 
    comname,
    statename,
    SUM(netweight_tmt) AS company_sales
  FROM 
    industry_performance_test
  WHERE 
    region_name IS NOT NULL
  GROUP BY
    comname, statename
)
SELECT 
  cs.comname,
  cs.statename,
  ROUND(cs.company_sales) AS sales_volume,
  ROUND(tm.total_market_size) AS market_size,
  ROUND((cs.company_sales / tm.total_market_size) * 100, 2) AS market_share_percent
FROM 
  company_sales cs
JOIN 
  total_market tm ON cs.statename = tm.statename
ORDER BY
  cs.statename,
  market_share_percent DESC;"
Market Share Analysis,What is the market share analysis by productname where sbu_name = 'RETAIL'? Include percentage calculations.,"WITH total_market AS (
  SELECT 
    productname,
    SUM(netweight_tmt) AS total_market_size
  FROM 
    industry_performance_test
  WHERE 
    sbu_name = 'RETAIL'
  GROUP BY
    productname
),
company_sales AS (
  SELECT 
    comname,
    productname,
    SUM(netweight_tmt) AS company_sales
  FROM 
    industry_performance_test
  WHERE 
    sbu_name = 'RETAIL'
  GROUP BY
    comname, productname
)
SELECT 
  cs.comname,
  cs.productname,
  ROUND(cs.company_sales) AS sales_volume,
  ROUND(tm.total_market_size) AS market_size,
  ROUND((cs.company_sales / tm.total_market_size) * 100, 2) AS market_share_percent
FROM 
  company_sales cs
JOIN 
  total_market tm ON cs.productname = tm.productname
ORDER BY
  cs.productname,
  market_share_percent DESC;"
Market Share Analysis,What is the market share analysis by region_name where region_name IS NOT NULL?,"WITH total_market AS (
  SELECT 
    region_name,
    SUM(netweight_tmt) AS total_market_size
  FROM 
    industry_performance_test
  WHERE 
    region_name IS NOT NULL
  GROUP BY
    region_name
),
company_sales AS (
  SELECT 
    comname,
    region_name,
    SUM(netweight_tmt) AS company_sales
  FROM 
    industry_performance_test
  WHERE 
    region_name IS NOT NULL
  GROUP BY
    comname, region_name
)
SELECT 
  cs.comname,
  cs.region_name,
  ROUND(cs.company_sales) AS sales_volume,
  ROUND(tm.total_market_size) AS market_size,
  ROUND((cs.company_sales / tm.total_market_size) * 100, 2) AS market_share_percent
FROM 
  company_sales cs
JOIN 
  total_market tm ON cs.region_name = tm.region_name
ORDER BY
  cs.region_name,
  market_share_percent DESC;"
Distribution Analysis,What is the market share analysis by statename where region_name IS NOT NULL?,"WITH district_metrics AS (
  SELECT 
    distname,
    statename,
    SUM(netweight_tmt) AS total_sales,
    COUNT(DISTINCT productname) AS product_count,
    COUNT(DISTINCT comname) AS company_count
  FROM 
    industry_performance_test
  WHERE 
    region_name IS NOT NULL
    AND distname IS NOT NULL
  GROUP BY
    distname, statename
),
ranked_districts AS (
  SELECT 
    statename,
    distname,
    total_sales,
    product_count,
    company_count,
    RANK() OVER (PARTITION BY statename ORDER BY total_sales DESC) AS sales_rank
  FROM 
    district_metrics
),
segment_totals AS (
  SELECT 
    statename,
    SUM(total_sales) AS segment_total_sales,
    COUNT(DISTINCT distname) AS district_count
  FROM 
    district_metrics
  GROUP BY
    statename
)
SELECT 
  rd.statename,
  rd.distname,
  ROUND(rd.total_sales) AS district_sales,
  rd.sales_rank,
  ROUND(st.segment_total_sales) AS segment_total,
  ROUND((rd.total_sales / st.segment_total_sales) * 100, 2) AS contribution_percent,
  rd.product_count,
  rd.company_count
FROM 
  ranked_districts rd
JOIN 
  segment_totals st ON rd.statename = st.statename
WHERE 
  rd.sales_rank <= 10
ORDER BY
  rd.statename,
  rd.sales_rank;"
Growth Analysis,Calculate the growth rate for each region_name by month_name where fiscal_year = '2024-2025',"WITH period_sales AS (
  SELECT 
    region_name,
    month_name,
    SUM(netweight_tmt) AS total_sales
  FROM 
    industry_performance_test
  WHERE 
    fiscal_year = '2024-2025'
  GROUP BY
    region_name, month_name
),
growth_calc AS (
  SELECT 
    region_name,
    month_name,
    total_sales,
    LAG(total_sales) OVER (PARTITION BY region_name ORDER BY CASE WHEN month_name = 'AUG' THEN 1 WHEN month_name = 'SEP' THEN 2 WHEN month_name = 'OCT' THEN 3 END) AS previous_period_sales,
    CASE 
      WHEN LAG(total_sales) OVER (PARTITION BY region_name ORDER BY CASE WHEN month_name = 'AUG' THEN 1 WHEN month_name = 'SEP' THEN 2 WHEN month_name = 'OCT' THEN 3 END) IS NULL THEN NULL
      ELSE (total_sales - LAG(total_sales) OVER (PARTITION BY region_name ORDER BY CASE WHEN month_name = 'AUG' THEN 1 WHEN month_name = 'SEP' THEN 2 WHEN month_name = 'OCT' THEN 3 END)) / 
           LAG(total_sales) OVER (PARTITION BY region_name ORDER BY CASE WHEN month_name = 'AUG' THEN 1 WHEN month_name = 'SEP' THEN 2 WHEN month_name = 'OCT' THEN 3 END) * 100
    END AS growth_rate
  FROM 
    period_sales
)
SELECT 
  region_name,
  month_name,
  ROUND(total_sales) AS period_sales,
  ROUND(previous_period_sales) AS previous_period_sales,
  ROUND(growth_rate, 2) AS growth_percent
FROM 
  growth_calc
WHERE 
  previous_period_sales IS NOT NULL
ORDER BY
  region_name, CASE WHEN month_name = 'AUG' THEN 1 WHEN month_name = 'SEP' THEN 2 WHEN month_name = 'OCT' THEN 3 END;"
Regional Performance,Show regional performance analysis for each comname by statename where statename IS NOT NULL,"WITH region_metrics AS (
  SELECT 
    statename,
    comname,
    SUM(netweight_tmt) AS total_sales,
    COUNT(DISTINCT distname) AS district_count,
    COUNT(DISTINCT productname) AS product_count
  FROM 
    industry_performance_test
  WHERE 
    statename IS NOT NULL
  GROUP BY
    statename, comname
),
region_totals AS (
  SELECT 
    statename,
    SUM(netweight_tmt) AS region_total_sales,
    COUNT(DISTINCT distname) AS region_district_count
  FROM 
    industry_performance_test
  WHERE 
    statename IS NOT NULL
  GROUP BY
    statename
)
SELECT 
  rm.statename,
  rm.comname,
  ROUND(rm.total_sales) AS entity_sales,
  ROUND(rt.region_total_sales) AS region_total,
  ROUND((rm.total_sales / rt.region_total_sales) * 100, 2) AS contribution_percent,
  rm.district_count,
  rt.region_district_count,
  ROUND((rm.district_count::FLOAT / rt.region_district_count) * 100, 2) AS district_coverage_percent,
  rm.product_count
FROM 
  region_metrics rm
JOIN 
  region_totals rt ON rm.statename = rt.statename
ORDER BY
  rm.statename,
  contribution_percent DESC;"
Growth Analysis,Calculate the growth rate for each statename by fiscal_year where productname = 'MS' Sort by performance metrics.,"WITH period_sales AS (
  SELECT 
    statename,
    fiscal_year,
    SUM(netweight_tmt) AS total_sales
  FROM 
    industry_performance_test
  WHERE 
    productname = 'MS'
  GROUP BY
    statename, fiscal_year
),
growth_calc AS (
  SELECT 
    statename,
    fiscal_year,
    total_sales,
    LAG(total_sales) OVER (PARTITION BY statename ORDER BY fiscal_year) AS previous_period_sales,
    CASE 
      WHEN LAG(total_sales) OVER (PARTITION BY statename ORDER BY fiscal_year) IS NULL THEN NULL
      ELSE (total_sales - LAG(total_sales) OVER (PARTITION BY statename ORDER BY fiscal_year)) / 
           LAG(total_sales) OVER (PARTITION BY statename ORDER BY fiscal_year) * 100
    END AS growth_rate
  FROM 
    period_sales
)
SELECT 
  statename,
  fiscal_year,
  ROUND(total_sales) AS period_sales,
  ROUND(previous_period_sales) AS previous_period_sales,
  ROUND(growth_rate, 2) AS growth_percent
FROM 
  growth_calc
WHERE 
  previous_period_sales IS NOT NULL
ORDER BY
  statename, fiscal_year;"
Performance Comparison,Compare performance of each region_name across different category where fiscal_year = '2024-2025' Sort by performance metrics.,"WITH entity_metrics AS (
  SELECT 
    region_name,
    category,
    SUM(netweight_tmt) AS total_sales,
    COUNT(DISTINCT distname) AS district_count,
    COUNT(DISTINCT productname) AS product_count,
    SUM(netweight_tmt) / NULLIF(COUNT(DISTINCT distname), 0) AS sales_per_district
  FROM 
    industry_performance_test
  WHERE 
    fiscal_year = '2024-2025'
  GROUP BY
    region_name, category
),
comparison_avg AS (
  SELECT 
    category,
    AVG(total_sales) AS avg_sales,
    AVG(district_count) AS avg_district_count,
    AVG(product_count) AS avg_product_count,
    AVG(sales_per_district) AS avg_sales_per_district
  FROM 
    entity_metrics
  GROUP BY
    category
)
SELECT 
  em.region_name,
  em.category,
  ROUND(em.total_sales) AS entity_sales,
  ROUND(ca.avg_sales) AS comparison_avg_sales,
  ROUND((em.total_sales / ca.avg_sales) * 100, 2) AS sales_performance_index,
  em.district_count,
  ROUND(ca.avg_district_count) AS comparison_avg_districts,
  ROUND((em.district_count / ca.avg_district_count) * 100, 2) AS coverage_performance_index,
  ROUND(em.sales_per_district, 2) AS entity_sales_per_district,
  ROUND(ca.avg_sales_per_district, 2) AS comparison_avg_sales_per_district,
  ROUND((em.sales_per_district / ca.avg_sales_per_district) * 100, 2) AS efficiency_performance_index
FROM 
  entity_metrics em
JOIN 
  comparison_avg ca ON em.category = ca.category
ORDER BY
  em.category,
  sales_performance_index DESC;"
Product Performance,What is the market share analysis by statename where statename IS NOT NULL?,"WITH product_metrics AS (
  SELECT 
    productname,
    statename,
    SUM(netweight_tmt) AS total_sales,
    COUNT(DISTINCT distname) AS district_count,
    COUNT(DISTINCT comname) AS company_count,
    SUM(netweight_tmt) / COUNT(DISTINCT distname) AS sales_per_district
  FROM 
    industry_performance_test
  WHERE 
    statename IS NOT NULL
    AND distname IS NOT NULL
  GROUP BY
    productname, statename
),
segment_avg AS (
  SELECT 
    statename,
    AVG(total_sales) AS avg_product_sales,
    AVG(district_count) AS avg_district_count,
    AVG(sales_per_district) AS avg_sales_per_district
  FROM 
    product_metrics
  GROUP BY
    statename
)
SELECT 
  pm.productname,
  pm.statename,
  ROUND(pm.total_sales) AS total_sales,
  ROUND(sa.avg_product_sales) AS segment_avg_sales,
  ROUND((pm.total_sales / sa.avg_product_sales) * 100, 2) AS sales_performance_index,
  pm.district_count,
  pm.company_count,
  ROUND(pm.sales_per_district, 2) AS sales_per_district,
  ROUND(sa.avg_sales_per_district, 2) AS segment_avg_sales_per_district
FROM 
  product_metrics pm
JOIN 
  segment_avg sa ON pm.statename = sa.statename
ORDER BY
  pm.statename,
  sales_performance_index DESC;"
Regional Performance,Show regional performance analysis for each comname by region_name where statename IS NOT NULL,"WITH region_metrics AS (
  SELECT 
    region_name,
    comname,
    SUM(netweight_tmt) AS total_sales,
    COUNT(DISTINCT distname) AS district_count,
    COUNT(DISTINCT productname) AS product_count
  FROM 
    industry_performance_test
  WHERE 
    statename IS NOT NULL
  GROUP BY
    region_name, comname
),
region_totals AS (
  SELECT 
    region_name,
    SUM(netweight_tmt) AS region_total_sales,
    COUNT(DISTINCT distname) AS region_district_count
  FROM 
    industry_performance_test
  WHERE 
    statename IS NOT NULL
  GROUP BY
    region_name
)
SELECT 
  rm.region_name,
  rm.comname,
  ROUND(rm.total_sales) AS entity_sales,
  ROUND(rt.region_total_sales) AS region_total,
  ROUND((rm.total_sales / rt.region_total_sales) * 100, 2) AS contribution_percent,
  rm.district_count,
  rt.region_district_count,
  ROUND((rm.district_count::FLOAT / rt.region_district_count) * 100, 2) AS district_coverage_percent,
  rm.product_count
FROM 
  region_metrics rm
JOIN 
  region_totals rt ON rm.region_name = rt.region_name
ORDER BY
  rm.region_name,
  contribution_percent DESC;"
